https://www.namauto.com/cars/9680260-honda-brio-1.2-comfort/,"N$ 79,900",20UCA00220,1,N/A,Blue,BROWN,BLUE,4,Petrol,Sedan,"124,000 km",1.2 l,Manual
https://www.namauto.com/cars/9861733-kia-picanto-1.2-ex/,"N$ 85,900",PIC12EXGOL,2,N/A,Bronze,Black and Grey,bronze,5,Petrol,Hatchback,"113,000 km",1.2 l,Manual
https://www.namauto.com/cars/10106972-kia-picanto-1.0-lx/,"N$ 99,700",N194343W,1,N/A,Silver,Grey,BRIGHT SILVER,5,Petrol,Hatchback,"71,915 km",1 l,Manual
https://www.namauto.com/cars/10114740-kia-picanto-1.2-ex/,"N$ 99,900",20UCA34278,1,N/A,Red,N/A,RED,5,Petrol,Hatchback,"121,000 km",1.2 l,Manual
https://www.namauto.com/cars/10331852-hyundai-i20-1.4-d-glide/,"N$ 99,900",USED,1,N/A,White,Black,White,5,Diesel,Hatchback,"132,000 km",1.4 l,Manual
https://www.namauto.com/cars/10342618-audi-a3-1.4-tfsi-attraction/,"N$ 99,900",PREOWNED,1,N/A,Silver,Black,Silver,3,Petrol,Hatchback,"99,500 km",1.4 l,Manual
https://www.namauto.com/cars/10257681-toyota-etios-1.5-sprint/,"N$ 108,900",MASTERCARS,1,N/A,Red,Grey,Red,4,Petrol,Sedan,"64,500 km",1.5 l,Manual
https://www.namauto.com/cars/9413866-toyota-etios-1.5-xs-sedan/,"N$ 109,900",14ETIOSWIT,2,N/A,White,Black,white,4,Petrol,Sedan,"89,000 km",1.5 l,Manual
https://www.namauto.com/cars/9932769-jeep-grand-cherokee-3.0-crd-laredo/,"N$ 109,900",USED,2,N/A,Bronze,Grey,Brown,5,Diesel,SUV,"243,000 km",3 l,Automatic
https://www.namauto.com/cars/9684905-toyota-etios-1.5-xs-5-dr/,"N$ 115,900",SIL15XS5DR,1,N/A,Silver,Black and Grey,silver,5,Petrol,Hatchback,"75,000 km",1.5 l,Manual
https://www.namauto.com/cars/9382421-volvo-s40-2.0-powershift/,"N$ 119,900",USED,1,N/A,White,Black,White,4,Petrol,Sedan,"91,000 km",2 l,Automatic
https://www.namauto.com/cars/9606574-datsun-go-1.2-lux-ab/,"N$ 119,900",PREOWNED,1,N/A,White,grey/black,White,5,Petrol,Hatchback,"8,500 km",1.2 l,Manual
